黄,黃,huáng,yellow,Difficult Words
健康,健康,jiànkāng,healthy,Difficult Words
页,頁,yè,page,Difficult Words
筋,筋,jīn,tendon,"Food & Drink,Difficult Words"
成龙,成龍,Chénglóng,Jackie Chan,Difficult Words
间谍,間諜,jiàndié,spy,Difficult Words
押金,押金,yājīn,deposit,Difficult Words
卫生纸,衛生紙,wèishēngzhǐ,toilet paper,"Home & Appliances,Difficult Words"
旅馆,旅館,lǚguǎn,motel,"Places, Location,Difficult Words"
预定,預定,yùdìng,schedule in advance,"Time & Date,Difficult Words"
环境,環境,huánjìng,environment,"Places, Location,Difficult Words"
服务,服務,fúwù,service,Difficult Words
招待所,招待所,zhāodàisuǒ,hostel (usually cheap),"Places, Location,Difficult Words"
行李寄存处,行李寄存處,xínglǐ jìcúnchù,luggage storage room,"Travel & Living Abroad,Difficult Words"
标签,標簽,biāoqiān,label,"Travel & Living Abroad,Difficult Words"
设计师,設計師,shèjìshī,designer,"Jobs & Professions,Difficult Words"
硬卧,硬臥,yìngwò,hard sleeper,"Travel & Living Abroad,Difficult Words"
机场,機場,jīchǎng,airport,"Places, Location,Difficult Words"
假,假,jiǎ,fake,"Characters,Difficult Words"
事,事,shì,thing,"Characters,Difficult Words"
清楚,清楚,qīngchu,clearly,Difficult Words
激动,激動,jīdòng,excited; animated,Difficult Words
划算,划算,huásuàn,to be worth the price,"Shopping,Difficult Words"
顾客,顧客,gùkè,customer,"Shopping,Difficult Words"
营业员,營業員,yíngyèyuán,clerk,"Shopping,Difficult Words"
试穿,試穿,shì chuān,to try(clothes),"Shopping,Difficult Words"
随便,隨便,suíbiàn,as one wishes,Difficult Words
决定,決定,juédìng,to decide,Difficult Words
装,裝,zhuāng,to pretend,"Characters,Difficult Words"
多久,多久,duō jiǔ,how long,"Time & Date,Difficult Words"
瘦,瘦,shòu,thin,"Characters,Difficult Words"
结婚,結婚,jiéhūn,to get married,"Family,Difficult Words"
磁悬浮列车,磁懸浮列車,cíxuánfú lièchē,Maglev train,"Transportation,Difficult Words"
出差,出差,chūchāi,to go out on business; business trip,"Jobs & Professions,Difficult Words"
成都,成都,Chéngdū,Chengdu,"Geography,Difficult Words"
禁止,禁止,jìn zhǐ,forbidden,Difficult Words
逛街,逛街,guàngjiē,to stroll down the street,Difficult Words
主意,主意,zhǔyi,plan; idea; decision,Difficult Words
医院,醫院,yīyuàn,hospital,"Places, Location,Difficult Words"
手表,手表,shǒubiǎo,wristwatch,"Clothing,Difficult Words"
