结束,結束,jiéshù,"to finish, to end",
社群,社群,shèqún,social,
取款,取款,qǔkuǎn,to withdraw money,
教室,教室,jiàoshì,classroom,
欣赏,欣賞,xīnshǎng,to appreciate,
糊涂,糊涂,hútu,confused,
堂,堂,táng,"classifier for classes, lectures etc",
球类,球類,qiúlèi,ball sports,
适合,適合,shìhé,to fit,
建议,建議,jiànyì,to propose; to suggest; to recommend,
友善,友善,yǒushàn,friendly,
决定,決定,juédìng,to decide,Difficult Words
出事,出事,chūshì,to have an accident,
甜食,甜食,tiánshí,sweet food,
考卷,考卷,kǎojuǎn,exam paper,
新鲜,新鮮,xīnxiān,"fresh (experience, food etc); freshness; novel",
气温,氣溫,qìwēn,air temperature,
尽管,盡管,jǐnguǎn,to feel free,"Uncategorized,Difficult Words"
题目,題目,tímù,subject; topic,
可疑,可疑,kěyí,suspicious,
家务,家务,jiāwù,housework,Home & Appliances
媒体,媒體,méitǐ,media,
作业,作業,zuòyè,school assignment; homework,
无数次,無數次,wúshùcì,countless times,
校园,校園,xiàoyuán,campus,
实现,實現,shíxiàn,to fulfill,Difficult Words
手指,手指,shǒuzhǐ,finger,
香蕉,香蕉,xiāngjiāo,banana,Food & Drink
凉,涼,liáng,cool,
任性,任性,rènxìng,willful; headstrong,
现金,現金,xiànjīn,cash,"Uncategorized,Difficult Words"
可怜,可憐,kělián,pitiful,
伤心,傷心,shāngxīn,to be hurt,
辛苦,辛苦,xīnkǔ,hard work,
打扮,打扮,dǎban,to dress up,
彩虹,彩虹,cǎihóng,rainbow,
精彩,精彩,jīngcǎi,wonderful,
棒,棒,bàng,excellent; great,
椅子,椅子,yǐzi,chair,
兴奋,興奮,xīngfèn,excited,
向,向,xiàng,towards,Characters
操场,操場,cāochǎng,playground,
区别,區別,qūbié,difference; to distinguish; to discriminate,
搞丟,搞丟,gǎodiū,to lose (something),
暑假,暑假,shǔjià,summer vacation,
尊敬,尊敬,zūnjìng,to respect,
记不住,記不住,jìbùzhù,to not be able to remember,Difficult Words
无烟,無煙,wúyān,smoke-free,
生肖,生肖,shēngxiào,zodiac signs,
标准间,標準間,biāozhǔn jiān,standard room,
