表扬,表揚,biǎoyáng,to praise,
失望,失望,shīwàng,disappointed,
业绩,業績,yèjì,outstanding achievement,
满意,滿意,mǎnyì,satisfied,
生在,生在,shēngzài,to be born in,
钢琴,鋼琴,gāngqín,piano,
太极拳,太極拳,tàijíquán,Tai Chi,
跆拳道,跆拳道,táiquándào,taekwondo,
合气道,合氣道,héqìdào,akido,
柔道,柔道,róudào,judo,
功夫,功夫,gōngfu,kung fu,
打拳,打拳,dǎquán,to punch,
踢腿,踢腿,tītuǐ,to kick,
游戏机,游戲機,yóuxìjī,video game consoles,
武术,武術,wǔshù,martial arts,
风水,風水,fēngshuǐ,feng shui,
感兴趣,感興趣,gǎn xìngqù,to feel interested,
不过,不過,bùguò,but,
温柔,溫柔,wēnróu,gentle and soft,
丑,醜,chǒu,ugly,
压力,壓力,yālì,pressure,
困,睏,kùn,sleepy,
打哈欠,打哈欠,dǎ hāqiàn,to yawn,
做梦,做夢,zuòmèng,to dream,
举重,舉重,jǔzhòng,weight lifting,
经济,經濟,jīngjì,economy,
教练,教練,jiàoliàn,coach,
肌肉,肌肉,jīròu,muscle,
发达,發達,fādá,developed,
身材,身材,shēncái,physique,
运动员,運動員,yùndòngyuán,athlete,
厘米,釐米,límǐ,centimeters,
变形金刚,變形金剛,Biànxíngjīngāng,Transformers,
奥特曼,奧特曼,Aòtèmàn,Ultraman,
乖,乖,guāi,well-behaved,
微笑,微笑,wēixiào,to smile,
好事,好事,hǎoshì,good thing,
个子,個子,gèzi,stature,
吹风机,吹風機,chuīfēngjī,drier,
剃须刀,剃鬚刀,tìxūdāo,shaver,
刮胡子,刮鬍子,guā húzi,shave,
牙膏,牙膏,yágāo,toothpaste,
佐料,佐料,zuǒliào,'seasoning,
茄子,茄子,qiézi,eggplant,
味精,味精,wèijīng,MSG,
复杂,複雜,fùzá,complicated,
最后,最後,zuìhòu,finally,
学会,學會,xuéhuì,to have learned how to do something,
鸡丁,雞 丁,jīdīng,'diced chicken,
花生,花生,huāshēng,peanuts,
宫保鸡丁,宮保雞丁,gōngbǎojīdīng,kung pow chicken,
头脑,頭腦,tóunǎo,brain,
西藏,西藏,Xīzàng,Tibet,
金茂大厦,金茂大廈,Jīnmào Dàshà,Jinmao Tower,
导游,導遊,dǎoyóu,tour guide,
旅行团,旅行團,lǚxíngtuán,tour group,
东方明珠,東方明珠,Dōngfāng Míngzhū,the Oriental Pearl Tower,
名胜,名勝,míngshèng,place famous for its scenery or historic interest,
风景,風景,fēngjǐng,scenery,
兵马俑,兵馬俑,Bīngmǎyǒng,Terracotta Soldiers,
外滩,外灘,Wàitān,the Bund,
颐和园,頤和園,Yíhéyuán,Summer Palace,
故宫,故宮,Gùgōng,The Forbidden City,
野餐,野餐,yěcān,picnic,
西安,西安,Xī\'ān,Xi'an,
蚂蚁,螞蟻,mǎyǐ,ant,
国歌,國歌,guógē,national anthem,
交换,交換,jiāohuàn,exchange,
有意思,有意思,yǒu yìsi,interesting,
母语,母語,mǔyǔ,mother tongue,
练习,練習,liànxí,to practice,
接下来,接下來,jiē xiàlái,next,
拉丁舞,拉丁舞,lādīngwǔ,Latin dancing,
博客,博客,bókè,blog,
课文,課文,kèwén,text,
词语,詞語,cíyǔ,terms,
重复,重複,chóngfù,to repeat,
爱上,愛上,àishàng,to fall in love,
回复,回復,huífù,to reply to revert to,
谎言,謊言,huǎngyán,lie,
留言,留言,liúyán,to leave a message,
论坛,論壇,lùntán,forum,
朋友圈,朋友圈,péngyouquān,circle of friends,
腾讯,騰訊,Téngxùn,"Tencent, a Chinese software company",
