简历,簡歷,jiǎnlì,resume,
网址,網址,wǎngzhǐ,internet address,
冲浪,沖浪,chōnglàng,surf,
酸,酸,suān,sour,
橱窗,櫥窗,chúchuāng,shop-window,
杂志,雜志,zázhì,magazine,
新闻,新聞,xīnwén,news,
浏览,瀏覽,liúlǎn,to browse,
牌子,牌子,páizi,brand,
网名,網名,wǎngmíng,internet name,
翻墙软件,翻牆軟件,fānqiáng ruǎnjiàn,‘software that breaches the Great Firewall‘,
留,留,liú,stay,
弄,弄,nòng,to do,
相册,相冊,xiàngcè,photo album,
联系人,聯繫人,liánxìrén,contacts,
选择,選擇,xuǎnzé,to choose,
信息,信息,xìnxī,information,
土,土,tǔ,"out-dated, unfashionable",
头像,頭像,tóuxiàng,"profile photo, portrait",
上线,上線,shàngxiàn,online,
习惯,習慣,xíguàn,to be accustomed to,
陌生人,陌生人,mòshēngrén,stranger,
登录,登錄,dēnglù,sign in,
网友,網友,wǎngyǒu,online friend,
保持,保持,bǎochí,to keep; to maintain; to hold,
附近,附近,fùjìn,in the vicinity,
草稿箱,草稿箱,cǎogǎo xiāng,draft box,
收件箱,收件箱,shōujiànxiāng,inbox,
发件箱,發件箱,fājiànxiāng,sending box,
垃圾邮件,垃圾郵件,lājī yóujiàn,junk mail,
就好了,就好了,jiùhǎole,that\'s good enough,
收藏夹,收藏夾,shōucángjiā,favorites (folder),
添加,添加,tiānjiā,to add,
收藏,收藏,shōucáng,to bookmark,
视频,視頻,shìpín,video,
显示器,顯示器,xiǎnshìqì,monitor,
键盘,鍵盤,jiànpán,keyboard,
鼠标,鼠標,shǔbiāo,mouse,
保存,保存,bǎocún,to save,
重启,重啟,chóngqǐ,to restart,
文件,文件,wénjiàn,document,
糟糕,糟糕,zāogāo,darn,
申请,申請,shēnqǐng,to apply,
放弃,放棄,fàngqì,to renounce; to abandon; to give up,
只要,只要,zhǐyào,just to be; only need,
收音机,收音機,shōuyīnjī,radio,
按钮,按鈕,ànniǔ,button,
并不,並不,bìngbù,not at all,
比尔·盖茨,比尔·蓋茨,bǐěrgàicí,Bill Gates,
镜头,鏡頭,jìngtóu,camera lens; camera shot (in a movie etc); scene,
幻灯片,幻燈片,huàngdēngpiàn,slideshow,
好用,好用,hǎoyòng,easy to use,
软件,軟件,ruǎnjiàn,software,
微软,微軟,Wēiruǎn,Microsoft,
输入法,輸入法,shūrùfǎ,input method,
切换,切換,qiēhuàn,to switch over,
管道,管道,guǎndào,tubing; pipeline; (fig.) channel,
旧,舊,jiù,old,
电影院,電影院,diànyǐngyuàn,movie theater,
安卓,安卓,Ānzhuó,Android (operating system for mobile devices),
变压器,變壓器,biànyāqì,transformer,
感激,感激,gǎnjī,to be grateful; to appreciate; thankful,
人们,人們,rénmen,people,
挂号,掛號,guàhào,to register (at a hospital etc),
太阳能,太陽能,tàiyángnéng,solar energy,
汽车,汽車,qìchē,car,
反应,反應,fǎnyìng,reaction,
零售店,零售店,língshòu diàn,retail store,
平板电脑,平板電腦,píngbǎn diànnǎo,tablet computer,
自拍,自拍,zìpāi,to take a selfie,
时,時,shí,"when, at the time",
帽子,帽子,màozi,hat,
刚才,剛才,gāngcái,just now,
联系方式,聯繫方式,liánxì fāngshì,contact information,
堵车,堵車,dǔchē,traffic jam,
天,天,tiān,day,
占线,占線,zhànxiàn,busy signal,
停机,停機,tíngjī,out of credit,
打得通,打得通,dǎdetōng,"to connect, to go through",
不会吧,不會吧,bù huì ba,‘no way‘,
打不通,打不通,dǎbutōng,to be unable to connect,
从来,從來,cónglái,never (if used in negative sentence),
德语,德語,Déyǔ,German (language),
柏林,柏林,Bólín,Berlin,
床单,床單,chuángdān,bed sheet,
塑胶,塑膠,sùjiāo,plastic,
晚点,晚點,wǎndiǎn,a while later,
不幸,不幸,bùxìng,unfortunate,
求,求,qiú,to beg,
棒球,棒球,bàngqiú,baseball,
人生,人生,rénshēng,life,
爱情,愛情,àiqíng,love life,
书法,書法,shūfǎ,calligraphy,
顺利,順利,shùnlì,smoothly,
谈生意,談生意,tánshēngyi,to have business talks,
退休,退休,tuìxiū,to retire,
享受,享受,xiǎngshòu,to enjoy; to live it up; pleasure,
邮差,郵差,yóuchāi,postman,
吵,吵,chǎo,noisy,
厨房,廚房,chúfáng,kitchen,
衣橱,衣櫥,yīchú,wardrobe,
洋装,洋裝,yángzhuāng,dress,
着,著,zhe,aspect particle indicating action in progress,
整理,整理,zhěnglǐ,to tidy up,
煮饭,煮飯,zhǔfàn,to cook,
停电,停電,tíngdiàn,power cut,
突然,突然,tūrán,suddenly,
丢,丟,diū,to dump; to drop,
文法,文法,wénfǎ,grammar,
